epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2791,0.88533,3.59452,1.23964,0.29423,0.56809,0.3439,0.29027,0.60563,1.71922,1.11537,0.000174314,0.000174314,0.000174314
2,129.43,0.7451,1.7819,1.10398,0.49118,0.63233,0.59896,0.48769,0.64571,1.68002,1.13105,0.000342724,0.000342724,0.000342724
3,190.538,0.73489,1.4714,1.09799,0.70446,0.73347,0.74651,0.60498,0.65942,1.08466,1.10894,0.000504191,0.000504191,0.000504191
4,251.452,0.71761,1.26525,1.08147,0.82614,0.78886,0.84862,0.74369,0.55408,0.77264,1.03034,0.000494756,0.000494756,0.000494756
5,312.281,0.69344,1.15321,1.06903,0.88177,0.8269,0.88773,0.77257,0.55513,0.62732,1.04095,0.000484341,0.000484341,0.000484341
6,373.011,0.67036,1.07294,1.05064,0.85504,0.80828,0.89007,0.7805,0.50968,0.63002,0.99411,0.000473926,0.000473926,0.000473926
7,433.913,0.66862,1.02047,1.05098,0.95823,0.79872,0.92359,0.80348,0.53841,0.56216,1.00682,0.000463511,0.000463511,0.000463511
8,494.521,0.65703,0.96311,1.04651,0.91802,0.88415,0.94855,0.82984,0.51343,0.49545,0.99489,0.000453096,0.000453096,0.000453096
9,555.14,0.64374,0.95607,1.0426,0.9272,0.89387,0.95947,0.84825,0.51851,0.46568,0.99837,0.000442682,0.000442682,0.000442682
10,615.387,0.64196,0.90571,1.03398,0.97158,0.91633,0.9759,0.85851,0.51725,0.39777,0.99625,0.000432267,0.000432267,0.000432267
11,675.676,0.62477,0.87819,1.02791,0.96474,0.87529,0.95658,0.84592,0.50941,0.40953,0.99322,0.000421852,0.000421852,0.000421852
12,736.073,0.6168,0.85675,1.02256,0.96664,0.85659,0.94461,0.83871,0.4919,0.4082,0.96974,0.000411437,0.000411437,0.000411437
13,796.378,0.60282,0.8193,1.01639,0.97227,0.87089,0.95365,0.84569,0.48604,0.39241,0.97204,0.000401022,0.000401022,0.000401022
14,856.457,0.5934,0.81456,1.01323,0.97777,0.87209,0.9626,0.85268,0.48294,0.38076,0.96925,0.000390608,0.000390608,0.000390608
15,916.687,0.60682,0.80866,1.01593,0.97829,0.88693,0.9523,0.85108,0.46982,0.35203,0.95937,0.000380193,0.000380193,0.000380193
16,977.019,0.58596,0.77884,1.01204,0.96648,0.93729,0.98038,0.86504,0.46931,0.35158,0.96133,0.000369778,0.000369778,0.000369778
17,1037.16,0.58125,0.76846,1.00167,0.98397,0.9176,0.97739,0.88058,0.47165,0.34728,0.95463,0.000359363,0.000359363,0.000359363
18,1097.63,0.57466,0.74675,1.00048,0.97162,0.92759,0.98251,0.87302,0.46876,0.3525,0.96077,0.000348948,0.000348948,0.000348948
19,1158.28,0.57489,0.75124,0.99876,0.98365,0.90432,0.98145,0.88009,0.46381,0.33508,0.95578,0.000338534,0.000338534,0.000338534
20,1219.13,0.57291,0.7302,1.00039,0.9804,0.9223,0.98519,0.88353,0.46628,0.32001,0.96118,0.000328119,0.000328119,0.000328119
21,1279.52,0.57467,0.71079,0.99743,0.9846,0.92745,0.98518,0.88255,0.46686,0.30779,0.95201,0.000317704,0.000317704,0.000317704
22,1339.91,0.55619,0.69599,0.99214,0.99054,0.93098,0.98494,0.87988,0.4554,0.3129,0.94591,0.000307289,0.000307289,0.000307289
23,1400.14,0.54551,0.68064,0.98578,0.96831,0.92046,0.9849,0.88925,0.45634,0.31353,0.94879,0.000296874,0.000296874,0.000296874
24,1460.74,0.55595,0.67245,0.98832,0.96664,0.94537,0.98526,0.88743,0.45438,0.30693,0.94438,0.00028646,0.00028646,0.00028646
25,1521.1,0.54979,0.67358,0.98288,0.96627,0.94122,0.9852,0.89111,0.45376,0.29676,0.94631,0.000276045,0.000276045,0.000276045
26,1581.41,0.54794,0.65828,0.98236,0.99368,0.92509,0.98772,0.88699,0.44524,0.29227,0.93375,0.00026563,0.00026563,0.00026563
